covid,home_form,away_form,ranking_diff,home_win,Season
0,0.8,0.4,2.0,1,2017-2018
0,1.8,1.6,-1.0,1,2017-2018
0,0.2,1.8,-11.0,0,2017-2018
0,1.6,1.2,5.0,1,2017-2018
0,1.8,1.4,-8.0,1,2017-2018
0,0.8,1.0,1.0,1,2017-2018
0,1.8,1.0,10.0,1,2017-2018
0,2.0,2.6,-6.0,0,2017-2018
0,0.8,2.6,-12.0,0,2017-2018
0,1.8,2.4,0.0,1,2017-2018
0,0.2,0.4,-2.0,1,2017-2018
0,1.6,1.4,-8.0,0,2017-2018
0,0.4,2.4,-4.0,0,2017-2018
0,0.4,1.6,-5.0,0,2017-2018
0,2.6,1.2,17.0,0,2017-2018
0,0.2,2.2,-24.0,0,2017-2018
0,1.2,2.0,-6.0,1,2017-2018
0,2.6,1.2,20.0,1,2017-2018
0,1.0,0.8,2.0,0,2017-2018
0,1.8,0.8,-2.0,1,2017-2018
0,1.8,0.4,-1.0,1,2017-2018
0,1.4,0.4,15.0,1,2017-2018
0,1.4,0.2,13.0,1,2017-2018
0,2.4,2.2,0.0,1,2017-2018
0,1.2,3.0,-26.0,1,2017-2018
0,1.2,0.6,2.0,0,2017-2018
0,1.6,2.0,-6.0,0,2017-2018
0,1.2,2.6,-10.0,0,2017-2018
0,0.4,1.2,-7.0,0,2017-2018
0,0.8,1.6,2.0,0,2017-2018
0,0.2,1.4,-8.0,0,2017-2018
0,1.0,1.8,-2.0,1,2017-2018
0,0.2,2.4,-20.0,0,2017-2018
0,1.4,1.2,14.0,1,2017-2018
0,2.4,1.8,23.0,1,2017-2018
0,0.2,1.0,-7.0,1,2017-2018
0,2.0,2.0,-11.0,0,2017-2018
0,2.2,0.4,12.0,1,2017-2018
0,1.4,2.0,7.0,0,2017-2018
0,0.4,1.4,-15.0,0,2017-2018
0,1.0,1.6,1.0,0,2017-2018
0,1.8,1.2,3.0,1,2017-2018
0,1.4,0.4,18.0,0,2017-2018
0,2.0,2.4,-19.0,0,2017-2018
0,2.2,0.8,2.0,1,2017-2018
0,0.6,1.8,-3.0,1,2017-2018
0,2.0,2.2,0.0,1,2017-2018
